iter	Passed	Remaining
161	466	2412
162	468	2407
163	471	2402
164	474	2399
165	478	2404
166	482	2405
167	486	2408
168	490	2410
169	493	2411
170	497	2412
171	501	2412
172	504	2411
173	508	2413
174	511	2413
175	515	2411
176	519	2416
177	524	2420
178	527	2420
179	533	2429
180	536	2429
181	540	2430
182	544	2430
183	548	2431
184	551	2430
185	554	2428
186	558	2426
187	561	2426
188	565	2424
189	568	2422
190	572	2425
191	577	2428
192	582	2433
193	585	2433
194	588	2430
195	592	2430
196	595	2428
197	598	2424
198	602	2425
199	606	2426
200	612	2436
201	618	2443
202	621	2438
203	624	2437
204	632	2451
205	637	2455
206	640	2452
207	643	2449
208	646	2445
209	649	2441
210	652	2438
211	656	2441
212	660	2438
213	662	2434
214	665	2430
215	668	2425
216	671	2422
217	673	2416
218	676	2413
219	679	2408
220	681	2402
221	684	2398
222	686	2393
223	689	2389
224	692	2385
225	695	2381
226	698	2377
227	700	2372
228	703	2367
229	705	2363
230	708	2358
231	711	2354
232	713	2349
233	716	2346
234	719	2341
235	721	2337
236	724	2333
237	729	2336
238	732	2332
239	734	2326
240	737	2322
241	739	2316
242	742	2312
243	744	2307
244	747	2302
245	749	2296
246	751	2292
247	754	2287
248	756	2282
249	759	2277
250	761	2273
251	764	2268
252	767	2264
253	769	2260
254	772	2257
255	775	2253
256	777	2248
257	780	2243
258	782	2238
259	785	2235
260	788	2231
261	790	2227
262	793	2223
263	795	2219
264	798	2214
265	800	2209
266	802	2204
267	805	2200
268	808	2195
269	810	2190
270	812	2185
271	814	2180
272	817	2176
273	819	2172
274	822	2169
275	825	2165
276	827	2160
277	830	2156
278	832	2151
279	834	2147
280	837	2142
281	839	2138
282	842	2133
283	844	2128
284	846	2123
285	849	2120
286	851	2116
287	854	2112
288	856	2107
289	858	2102
290	861	2098
291	863	2093
292	866	2089
293	868	2085
294	870	2081
295	873	2077
296	877	2077
297	880	2074
298	882	2070
299	885	2066
300	887	2061
301	890	2057
302	892	2052
303	895	2049
304	897	2045
305	900	2041
306	902	2037
307	905	2033
308	907	2029
309	910	2025
310	912	2022
311	915	2017
312	917	2014
313	921	2012
314	923	2008
315	926	2005
316	928	2001
317	931	1997
318	934	1994
319	936	1990
320	938	1985
321	941	1982
322	944	1978
323	946	1974
324	948	1970
325	950	1965
326	953	1962
327	955	1958
328	958	1954
329	961	1951
330	963	1948
331	966	1944
332	968	1939
333	971	1936
334	973	1932
335	976	1930
336	979	1926
337	981	1922
338	984	1918
339	986	1915
340	989	1912
341	992	1909
342	995	1906
343	998	1903
344	1000	1899
345	1004	1898
346	1007	1895
347	1009	1891
348	1012	1888
349	1016	1887
350	1018	1883
351	1021	1880
352	1024	1877
353	1026	1873
354	1029	1870
355	1031	1866
356	1034	1863
357	1037	1860
358	1039	1856
359	1042	1852
360	1044	1849
361	1047	1846
362	1050	1842
363	1052	1839
364	1054	1834
365	1057	1831
366	1059	1827
367	1062	1824
368	1064	1820
369	1066	1815
370	1068	1812
371	1071	1808
372	1073	1804
373	1077	1803
374	1079	1799
375	1082	1796
376	1085	1793
377	1088	1791
378	1091	1787
379	1093	1784
380	1096	1780
381	1098	1777
382	1100	1773
383	1103	1769
384	1105	1766
385	1109	1764
386	1111	1760
387	1114	1757
388	1116	1753
389	1119	1751
390	1122	1747
391	1124	1744
392	1127	1741
393	1130	1738
394	1132	1735
395	1135	1731
396	1137	1728
397	1140	1724
398	1142	1721
399	1145	1718
400	1148	1714
401	1150	1711
402	1153	1708
403	1155	1704
404	1158	1701
405	1160	1698
406	1163	1695
407	1165	1691
408	1168	1688
409	1172	1686
410	1174	1683
411	1177	1680
412	1180	1677
413	1182	1673
414	1185	1671
415	1188	1667
416	1190	1664
417	1195	1664
418	1197	1660
419	1200	1657
420	1204	1656
421	1207	1653
422	1210	1650
423	1213	1648
424	1215	1644
425	1217	1640
426	1220	1638
427	1222	1634
428	1225	1631
429	1228	1627
430	1230	1624
431	1232	1621
432	1235	1617
433	1237	1614
434	1240	1611
435	1242	1607
436	1245	1604
437	1247	1600
438	1250	1597
439	1252	1594
440	1255	1591
441	1257	1587
442	1260	1584
443	1262	1580
444	1264	1577
445	1266	1573
446	1269	1570
447	1271	1566
448	1274	1563
449	1276	1560
450	1279	1557
451	1281	1553
452	1283	1550
453	1286	1547
454	1288	1543
455	1291	1540
456	1293	1537
457	1296	1533
458	1298	1530
459	1300	1526
460	1303	1523
461	1305	1519
462	1307	1516
463	1309	1512
464	1311	1509
465	1314	1506
466	1316	1503
467	1319	1499
468	1323	1498
469	1327	1496
470	1330	1493
471	1333	1491
472	1336	1488
473	1339	1486
474	1342	1483
475	1344	1480
476	1347	1477
477	1351	1476
478	1356	1474
479	1358	1472
480	1362	1469
481	1365	1466
482	1368	1464
483	1371	1462
484	1376	1461
485	1379	1459
486	1382	1456
487	1385	1453
488	1389	1451
489	1392	1449
490	1395	1446
491	1398	1444
492	1402	1441
493	1405	1439
494	1407	1436
495	1410	1433
496	1413	1430
497	1415	1426
498	1418	1423
499	1422	1422
500	1425	1419
501	1427	1416
502	1430	1413
503	1433	1410
504	1437	1409
505	1440	1406
506	1442	1402
507	1445	1400
508	1450	1398
509	1454	1397
510	1458	1395
511	1461	1392
512	1464	1390
513	1467	1387
514	1470	1384
515	1475	1383
516	1477	1380
517	1480	1377
518	1484	1376
519	1487	1373
520	1490	1370
521	1493	1367
522	1496	1364
523	1498	1361
524	1501	1358
525	1503	1355
526	1507	1353
527	1510	1350
528	1513	1347
529	1516	1344
530	1518	1341
531	1521	1338
532	1524	1335
533	1529	1334
534	1532	1331
535	1535	1328
536	1537	1325
537	1541	1323
538	1544	1320
539	1547	1318
540	1551	1316
541	1554	1314
542	1557	1311
543	1560	1308
544	1563	1305
545	1568	1303
546	1570	1300
547	1573	1298
548	1576	1295
549	1580	1293
550	1583	1290
551	1586	1287
552	1589	1284
553	1592	1281
554	1594	1278
555	1598	1276
556	1600	1273
557	1604	1270
558	1607	1267
559	1610	1265
560	1614	1263
561	1617	1260
562	1621	1258
563	1624	1255
564	1627	1253
565	1631	1250
566	1634	1248
567	1637	1245
568	1640	1242
569	1643	1239
570	1649	1238
571	1652	1236
572	1655	1233
573	1658	1230
574	1662	1229
575	1665	1226
576	1669	1223
577	1672	1220
578	1675	1218
579	1678	1215
580	1681	1212
581	1684	1209
582	1687	1206
583	1690	1203
584	1692	1200
585	1695	1198
586	1698	1195
587	1701	1192
588	1704	1189
589	1707	1186
590	1710	1184
591	1714	1181
592	1717	1178
593	1721	1176
594	1724	1173
595	1727	1170
596	1729	1167
597	1734	1165
598	1736	1162
599	1739	1159
600	1742	1156
601	1745	1153
602	1747	1150
603	1750	1147
604	1753	1144
605	1755	1141
606	1758	1138
607	1760	1135
608	1763	1132
609	1766	1129
610	1768	1126
611	1771	1123
612	1774	1120
613	1777	1117
614	1779	1114
615	1782	1111
616	1784	1107
617	1787	1104
618	1790	1102
619	1793	1099
620	1796	1096
621	1799	1093
622	1802	1090
623	1805	1087
624	1808	1085
625	1812	1082
626	1814	1079
627	1817	1076
628	1820	1073
629	1822	1070
630	1827	1068
631	1829	1065
632	1832	1062
633	1834	1059
634	1837	1056
635	1840	1053
636	1843	1050
637	1845	1047
638	1849	1044
639	1853	1042
640	1856	1039
641	1859	1037
642	1862	1034
643	1865	1031
644	1867	1027
645	1870	1024
646	1872	1021
647	1875	1018
648	1878	1015
649	1881	1012
650	1883	1009
651	1886	1006
652	1888	1003
653	1892	1001
654	1896	999
655	1899	996
656	1902	993
657	1905	990
658	1908	987
659	1911	984
660	1914	982
661	1917	979
662	1920	976
663	1923	973
664	1926	970
665	1930	967
666	1933	965
667	1936	962
668	1939	959
669	1942	956
670	1944	953
671	1947	950
672	1950	947
673	1953	944
674	1956	941
675	1959	939
676	1962	936
677	1964	933
678	1967	930
679	1970	927
680	1974	924
681	1977	922
682	1980	919
683	1983	916
684	1987	913
685	1990	911
686	1993	908
687	1997	905
688	2000	902
689	2002	899
690	2006	897
691	2010	894
692	2012	891
693	2015	888
694	2017	885
695	2020	882
696	2023	879
697	2026	876
698	2028	873
699	2031	870
700	2034	867
701	2037	864
702	2040	861
703	2042	858
704	2045	855
705	2047	852
706	2049	849
707	2052	846
708	2055	843
709	2057	840
710	2060	837
711	2063	834
712	2065	831
713	2067	828
714	2070	825
715	2072	822
716	2075	819
717	2077	816
718	2080	813
719	2083	810
720	2086	807
721	2089	804
722	2092	801
723	2094	798
724	2097	795
725	2099	792
726	2102	789
727	2104	786
728	2107	783
729	2109	780
730	2112	777
731	2114	774
732	2117	771
733	2119	768
734	2122	765
735	2124	762
736	2127	759
737	2129	756
738	2132	752
739	2134	749
740	2136	746
741	2140	744
742	2143	741
743	2145	738
744	2148	735
745	2150	732
746	2154	729
747	2156	726
748	2159	723
749	2163	721
750	2166	718
751	2168	715
752	2172	712
753	2175	709
754	2178	706
755	2180	703
756	2183	700
757	2185	697
758	2188	694
759	2191	691
760	2193	688
761	2196	686
762	2199	683
763	2202	680
764	2204	677
765	2207	674
766	2210	671
767	2213	668
768	2217	666
769	2220	663
770	2222	660
771	2225	657
772	2229	654
773	2233	652
774	2236	649
775	2240	646
776	2242	643
777	2245	640
778	2248	637
779	2250	634
780	2253	632
781	2256	628
782	2259	626
783	2261	623
784	2264	620
785	2266	617
786	2269	614
787	2271	611
788	2274	608
789	2277	605
790	2279	602
791	2282	599
792	2285	596
793	2287	593
794	2290	590
795	2293	587
796	2295	584
797	2298	581
798	2300	578
799	2303	575
800	2306	573
801	2309	570
802	2311	567
803	2314	564
804	2317	561
805	2319	558
806	2322	555
807	2325	552
808	2327	549
809	2330	546
810	2333	543
811	2335	540
812	2338	537
813	2341	534
814	2343	531
815	2346	529
816	2348	526
817	2351	523
818	2353	520
819	2356	517
820	2358	514
821	2361	511
822	2363	508
823	2366	505
824	2369	502
825	2371	499
826	2374	496
827	2376	493
828	2379	490
829	2381	487
830	2385	485
831	2388	482
832	2390	479
833	2393	476
834	2396	473
835	2398	470
836	2401	467
837	2404	464
838	2407	461
839	2409	458
840	2412	456
841	2415	453
842	2418	450
843	2421	447
844	2424	444
845	2427	441
846	2430	438
847	2432	436
848	2435	433
849	2438	430
850	2440	427
851	2443	424
852	2446	421
853	2449	418
854	2451	415
855	2454	412
856	2456	409
857	2459	407
858	2462	404
859	2464	401
860	2467	398
861	2469	395
862	2472	392
863	2475	389
864	2478	386
865	2480	383
866	2483	380
867	2485	378
868	2490	375
869	2493	372
870	2495	369
871	2498	366
872	2500	363
873	2503	360
874	2506	358
875	2508	355
876	2511	352
877	2514	349
878	2516	346
879	2519	343
880	2521	340
881	2524	337
882	2526	334
883	2530	332
884	2533	329
885	2536	326
886	2539	323
887	2542	320
888	2545	317
889	2548	314
890	2551	312
891	2554	309
892	2557	306
893	2559	303
894	2562	300
895	2566	297
896	2569	295
897	2572	292
898	2575	289
899	2577	286
900	2581	283
901	2584	280
902	2587	277
903	2590	275
904	2593	272
905	2596	269
906	2599	266
907	2601	263
908	2604	260
909	2607	257
910	2610	255
911	2613	252
912	2616	249
913	2618	246
914	2621	243
915	2624	240
916	2627	237
917	2630	234
918	2633	232
919	2635	229
920	2638	226
921	2642	223
922	2645	220
923	2648	217
924	2651	214
925	2654	212
926	2657	209
927	2660	206
928	2663	203
929	2665	200
930	2668	197
931	2671	194
932	2674	192
933	2677	189
934	2680	186
935	2683	183
936	2686	180
937	2689	177
938	2693	174
939	2697	172
940	2700	169
941	2703	166
942	2706	163
943	2709	160
944	2712	157
945	2715	155
946	2718	152
947	2721	149
948	2724	146
949	2727	143
950	2735	140
951	2738	138
952	2741	135
953	2744	132
954	2747	129
955	2750	126
956	2753	123
957	2756	120
958	2758	117
959	2762	115
960	2765	112
961	2768	109
962	2773	106
963	2776	103
964	2779	100
965	2783	97
966	2789	95
967	2792	92
968	2795	89
969	2798	86
970	2801	83
971	2806	80
972	2809	77
973	2813	75
974	2816	72
975	2819	69
976	2823	66
977	2827	63
978	2830	60
979	2834	57
980	2838	54
981	2841	52
982	2845	49
983	2848	46
984	2852	43
985	2855	40
986	2858	37
987	2861	34
988	2864	31
989	2867	28
990	2871	26
991	2874	23
992	2877	20
993	2881	17
994	2884	14
995	2887	11
996	2891	8
997	2894	5
998	2897	2
999	2900	0
