iter	Logloss
0	0.6636349595
1	0.6345394266
2	0.6068467423
3	0.5835217139
4	0.560963928
5	0.5427702875
6	0.5203490935
7	0.5013125394
8	0.4788880652
9	0.4595976527
10	0.4457661329
11	0.4321503246
12	0.4172949775
13	0.4012462666
14	0.3842328848
15	0.3725035216
16	0.3582610632
17	0.3443198038
18	0.3304821962
19	0.3171650635
20	0.3064744986
21	0.2971062624
22	0.284747122
23	0.2744279758
24	0.2661161658
25	0.2587456281
26	0.2490608229
27	0.2414235834
28	0.2329734392
29	0.2249196606
30	0.2195216757
31	0.212773435
32	0.2038301558
33	0.1988625499
34	0.1918587794
35	0.1850835864
36	0.1804361576
37	0.1760508736
38	0.1706601075
39	0.1657420829
40	0.1631380662
41	0.1583965167
42	0.1537973938
43	0.1502601864
44	0.1474017439
45	0.1435309125
46	0.1398996169
47	0.1364308673
48	0.1327513975
49	0.1304418089
50	0.1285504717
51	0.1261144201
52	0.1224720741
53	0.1196894197
54	0.1168009579
55	0.1141593296
56	0.1117624071
57	0.1093540773
58	0.1070891685
59	0.1045008719
60	0.1024455842
61	0.1005020927
62	0.09839375113
63	0.09654196276
64	0.09454791451
65	0.09353627835
66	0.09193410099
67	0.09045731569
68	0.08905684097
69	0.08772945213
70	0.08644693676
71	0.08452491732
72	0.08352495707
73	0.08195397509
74	0.08092399661
75	0.07948118998
76	0.07806656901
77	0.07693590495
78	0.07583926725
79	0.07505597526
80	0.07419380782
81	0.07318526806
82	0.07227946367
83	0.07119219136
84	0.07002273679
85	0.06894242434
86	0.06773993136
87	0.0667764626
88	0.0658798153
89	0.06514084521
90	0.06421803013
91	0.06331115188
92	0.06279155408
93	0.06211337621
94	0.06130632685
95	0.06072777846
96	0.0599120261
97	0.05936823695
98	0.05879981833
99	0.0582558515
100	0.05776660893
101	0.05719936718
102	0.05653408595
103	0.05600358743
104	0.05560604429
105	0.05496769232
106	0.05456960654
107	0.05395751317
108	0.05335135868
109	0.05301878459
110	0.05267753566
111	0.05225945073
112	0.05185528276
113	0.05138951433
114	0.05096338976
115	0.05061889594
116	0.05017819491
117	0.0497342207
118	0.0490876969
119	0.04856374628
120	0.04819650184
121	0.04788210213
122	0.0475872057
123	0.04693318279
124	0.04636223389
125	0.04612778818
126	0.04590094613
127	0.04551503402
128	0.0452037698
129	0.04486459197
130	0.04463047491
131	0.04434932145
132	0.04411988256
133	0.04393271948
134	0.04370667763
135	0.0433197152
136	0.04316747561
137	0.0429534153
138	0.04270848483
139	0.04244771621
140	0.04225454685
141	0.04192027307
142	0.04158417625
143	0.04134384767
144	0.04111797526
145	0.04077981707
146	0.04062243261
147	0.04041031874
148	0.04026603265
149	0.04007486691
150	0.03991453613
151	0.03966652807
152	0.03950943408
153	0.03929194764
154	0.03915851717
155	0.03902313665
156	0.03881441473
157	0.03861630425
158	0.03839755826
159	0.03815061684
160	0.03784431796
161	0.03776456356
162	0.03752280535
163	0.03743219316
164	0.03723281841
165	0.03691195521
166	0.03672222619
167	0.03648959259
168	0.03636158146
169	0.03624706476
170	0.03608045707
171	0.03593751095
172	0.03569136957
173	0.03554292586
174	0.03542289627
175	0.03531798858
176	0.03505972353
177	0.03481500513
178	0.03472419694
179	0.03459899145
180	0.03452121087
181	0.03443413499
182	0.03420199563
183	0.0340938171
184	0.03390853574
185	0.03382156051
186	0.03371765662
187	0.03355731833
188	0.03345947846
189	0.0333723386
190	0.03324007776
191	0.03317749103
192	0.03306757138
193	0.03295242656
194	0.03275138812
195	0.03260796918
196	0.03248831605
197	0.03241051034
198	0.03227306312
199	0.03213177874
200	0.03206197152
201	0.03189322645
202	0.03177196632
203	0.03170763435
204	0.03158793555
205	0.03147015443
206	0.03131267965
207	0.03123024401
208	0.03109936248
209	0.03087889088
210	0.03075817992
211	0.03059518697
212	0.03049664196
213	0.03041605878
214	0.03029255239
215	0.03019423648
216	0.03002677942
217	0.02987700133
218	0.02979188235
219	0.02967435711
220	0.02955042692
221	0.02944009765
222	0.02935448623
223	0.02930504072
224	0.0292415912
225	0.02913234514
226	0.02900612998
227	0.02896420928
228	0.02881121325
229	0.0287422192
230	0.02864110102
231	0.02859087861
232	0.02853650036
233	0.02839843504
234	0.02830083292
235	0.02823389818
236	0.02819288219
237	0.02813710005
238	0.02805256625
239	0.02798682524
240	0.0279163496
241	0.02785236432
242	0.0277540365
243	0.02765223327
244	0.02754299869
245	0.02743216411
246	0.02733918188
247	0.02721426999
248	0.02714174188
249	0.02707941582
250	0.0270500639
251	0.02698998276
252	0.02691899323
253	0.02679997209
254	0.0267580467
255	0.02666608266
256	0.02661406494
257	0.02652623986
258	0.02640234477
259	0.02633389954
260	0.02622703779
261	0.02610233329
262	0.02596170979
263	0.02588389167
264	0.02576452484
265	0.0256856354
266	0.02564061073
267	0.02560857564
268	0.02553884094
269	0.02547423615
270	0.0253885503
271	0.02534420992
272	0.02527871398
273	0.0252176948
274	0.02517238594
275	0.0251018021
276	0.02508206416
277	0.02502703804
278	0.0249459722
279	0.02491022034
280	0.02488092369
281	0.02480920664
282	0.02474759016
283	0.02461549236
284	0.02455994254
285	0.02450358347
286	0.02444824521
287	0.0243778201
288	0.02429438325
289	0.02423899549
290	0.02419965402
291	0.02412042889
292	0.0240532679
293	0.02401183384
294	0.02395019009
295	0.02388718095
296	0.02384244151
297	0.02379329712
298	0.02373037842
299	0.02365161793
300	0.02354344308
301	0.02350576694
302	0.02346710944
303	0.02339131444
304	0.02334584108
305	0.02319894935
306	0.02312008704
307	0.02307854026
308	0.02299944454
309	0.0229674721
310	0.02286125827
311	0.02284391049
312	0.02279839896
313	0.02273682996
314	0.02268849191
315	0.02262963897
316	0.02256925717
317	0.02254727955
318	0.02244189149
319	0.02239216093
320	0.02234449537
321	0.02228151597
322	0.02223346015
323	0.02222102811
324	0.02218380579
325	0.02214220959
326	0.02211850409
327	0.02209919556
328	0.02204799259
329	0.02200885712
330	0.02196796341
331	0.02190386973
